gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
ATXN10,0.2632071303241715,0.3978566300892216,11744,non-target,unlabeled,,0.2628182064423006,0.2628182064423006,0.726,0.214,0,0.437891,-42.98928941304134,,,1.7191908256962565,,0.9192077143601772,0.9885379521141112,,0.0693302377539339,0.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,0.0,1
TEX101,0.2631271417324359,0.3978053532970977,11745,non-target,unlabeled,,,,0.937,0.984,0,0.0,,,,,,,,,,,,,,,,,,,0
P2RY12,0.2631076153367758,0.3977540765049738,11746,in trial,trial_heldout,Phase 2,,,1.74,1.09,0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
CAPN9,0.2630890675153829,0.3977027997128499,11747,non-target,unlabeled,,,,1.05,0.264,0,0.0,,-0.6548248535592557,-0.8098106903195155,1.4412677515060817,1.2023902633226686,,,,,,,,,,,,,,0
PIK3R6,0.263070536671216,0.3976515229207261,11748,non-target,unlabeled,,,,1.28,-0.148,0,0.043374,9.71106281553319,0.7580870533569475,-0.1660854601876422,5.369145269130768,-1.999073329960785,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOWAHD,0.2630061318352819,0.3976002461286022,11749,non-target,unlabeled,,,,,0.0657,0,0.0,,-0.6806311769275109,-1.301493475430404,0.6451629490243598,-4.075157144180014,,,,,,,,,,,,,,0
GPRIN1,0.2629621688916225,0.3975489693364783,11750,non-target,unlabeled,,,,3.32,0.249,0,0.0,,,,3.0612652768542064,,,,,,,,,,,,,,,0
PGAP3,0.2629620097386531,0.3974976925443544,11751,non-target,unlabeled,,,,1.04,0.208,0,0.286914,11.344713629086492,-0.0004709887164342,0.1023306140285224,-1.3892690222482778,3.057036106495661,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ZNF480,0.2629493861772853,0.3974464157522305,11752,non-target,unlabeled,,,,1.6,0.624,0,0.0,18.13424503758893,,,0.950860838593362,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TMIE,0.2629121827970569,0.3973951389601066,11753,non-target,unlabeled,,,,1.3,0.0575,0,0.0,,-1.4285337426710658,-1.093593997020746,1.7031621684452003,-1.468355258374137,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
WDCP,0.2629106362763139,0.3973438621679828,11754,non-target,unlabeled,,,,0.671,0.713,0,0.0,,,,,,,,,,,,,,,,,,,0
TUB,0.2628685954561088,0.3972925853758589,11755,non-target,unlabeled,,,,0.739,0.213,0,0.0,,-0.3839763604327578,1.5693863684969127,-0.2139261178158531,-1.1974157760938997,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
CLYBL,0.2628599532099083,0.397241308583735,11756,non-target,unlabeled,,,,1.08,-0.471,0,0.494914,5.330453548336204,,,4.069058015141834,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
STRIP1,0.2628427372528956,0.3971900317916111,11757,non-target,unlabeled,,,,0.732,2.83,0,0.0,-32.84941855960394,,,-0.1980684362174091,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ARRDC1,0.2628384315432646,0.3971387549994872,11758,non-target,unlabeled,,,,1.21,-1.05,0,0.725144,-20.41823955382631,0.0331818491046633,-0.9717322363646552,,0.7616085050301102,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WDR35,0.2628240265746407,0.3970874782073633,11759,non-target,unlabeled,,,,0.868,1.62,0,0.0,-8.385571148331094,0.2952093365104675,-2.658732191590108,,-0.3591046584808017,0.4709408391972896,0.1324503311258278,,0.3384905080714617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LRRC10,0.262800504054342,0.3970362014152395,11760,non-target,unlabeled,,,,1.07,0.803,0,0.0,,,,,,,,,,,,,,,,,,,0
NIM1K,0.2627874030240217,0.3969849246231156,11761,non-target,unlabeled,,,,1.25,-0.291,0,0.0,,-0.7445177784091684,0.7869350036930713,0.1082123300362286,-1.8280465743421677,,,,,,,,,,,,,,0
MYO19,0.2627760356452864,0.3969336478309917,11762,non-target,unlabeled,,,,1.18,0.0822,0,0.246998,-0.6348413275409156,-0.1552992951428249,0.2883215664507902,-2.75179994141993,-0.9921852189050964,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OR4C46,0.2627594969188324,0.3968823710388678,11763,non-target,unlabeled,,,,2.16,-5.17,0,0.095886,,,,,,,,,,,,,,,,,,,0
GDPGP1,0.2627286987586154,0.3968310942467439,11764,non-target,unlabeled,,,,1.39,0.8,0,0.032272,-18.695812419137443,-1.235150320109317,11.344869963524427,,4.920909623504697,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AMT,0.2627167397646734,0.39677981745462,11765,non-target,unlabeled,,,,0.855,0.662,0,0.336324,2.703108117605199,0.3106874777272785,-1.2222264651233137,0.3414858314050065,0.3526791623552769,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OR2AP1,0.2626825245191352,0.3967285406624961,11766,non-target,unlabeled,,,,2.09,-2.91,0,0.0,,,,,,,,,,,,,,,,,,,0
ADAMTS19,0.2626286709370712,0.3966772638703723,11767,non-target,unlabeled,,,,0.721,0.759,0,0.04301,,,,,,,,,,,,,,,,,,,0
SEC23A,0.2626256421208381,0.3966259870782483,11768,non-target,unlabeled,,,,0.675,2.12,0,0.0,-26.377145141296563,-0.2326597645120422,-0.8115328004070756,,-5.128944551767979,0.6942924159499609,0.674223127865512,0.8615183246073298,0.1872951967418178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
PFKL,0.262625607556289,0.3965747102861245,11769,non-target,unlabeled,,,,0.975,1.13,0,0.261708,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
NKAIN3,0.262615574419801,0.3965234334940006,11770,non-target,unlabeled,,,,1.16,0.78,0,0.034138,,,,,,,,,,,,,,,,,,,0
SQOR,0.2626148958002502,0.3964721567018767,11771,non-target,unlabeled,,,,1.05,-0.0198,0,0.0,-36.71319302651306,1.4343666725170767,-0.1109197637349713,3.305435948537324,5.015175982885431,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COX8C,0.2625398556090365,0.3964208799097528,11772,non-target,unlabeled,,,,2.24,-0.443,0,0.0,,,,,,,,,,,,,,,,,,,0
MT1HL1,0.2624921560743634,0.396369603117629,11773,non-target,unlabeled,,,,4.92,-0.0954,0,0.077707,,,,,,,,,,,,,,,,,,,0
WEE2,0.2624890717304297,0.396318326325505,11774,non-target,unlabeled,,,,1.05,0.869,0,0.033397,,,,,,,,,,,,,,,,,,,0
RLN2,0.2624846959904748,0.3962670495333812,11775,non-target,unlabeled,,,,2.31,-2.32,0,0.031207,0.6378203304082982,0.8352046098511464,-1.4250474083803009,6.61303807346841,1.5901913217323205,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ZNF623,0.2624821113470273,0.3962157727412573,11776,non-target,unlabeled,,,,1.01,0.701,0,0.0,14.80720553323365,0.0197636328273987,-0.1063166010166474,1.9017300155368164,4.511221922735591,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
DSC1,0.2624793369606666,0.3961644959491334,11777,non-target,unlabeled,,,,0.965,-0.508,0,0.582946,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
MCM8,0.2624679293539655,0.3961132191570095,11778,non-target,unlabeled,,0.503609910169263,0.503609910169263,1.03,0.631,0,0.0,-1.893978119691483,0.2452204939436038,0.6336936343173458,-1.799420198309863,-4.491268572848942,0.6830857440708887,0.4638308711156393,0.4060209424083769,0.2770648016625118,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
ODF2L,0.2624583586668357,0.3960619423648857,11779,non-target,unlabeled,,,,1.07,-0.488,0,0.418889,-5.251104086504665,-0.6146135801504578,-2.0780322596656577,1.92873825982695,4.941302491000314,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OR2A14,0.2624554105780341,0.3960106655727617,11780,non-target,unlabeled,,,,2.67,-0.231,0,0.0,,,,,,,,,,,,,,,,,,,0
EARS2,0.262438085607507,0.3959593887806379,11781,non-target,unlabeled,,0.4017024761322095,0.4017024761322095,1.17,0.0337,0,0.0,-12.817621521265467,0.0853225607103492,1.4675019071180118,-2.1953904070138437,-1.4530582058790815,0.2121449048735991,0.3958227203260316,0.2269633507853403,0.1836778154524325,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
NKPD1,0.2624231127580416,0.395908111988514,11782,non-target,unlabeled,,,,1.15,0.767,0,0.0,,,,-0.2520949668183446,,,,,,,,,,,,,,,0
TEX14,0.2623953931595212,0.3958568351963901,11783,non-target,unlabeled,,,,1.07,0.24,0,0.0,,-0.1583404075754243,-1.0272843121948607,2.8458306499905928,-3.5564499937033203,,,,,,,,,,,,,,0
MCIDAS,0.2623714513399384,0.3958055584042662,11784,non-target,unlabeled,,,,0.92,0.957,0,0.0,,-0.9486639888519374,-0.4101359745385018,0.0888808430525946,0.1075802443877853,,,,,,,,,,,,,,0
OXT,0.2623567476104467,0.3957542816121423,11785,non-target,unlabeled,,,,1.4,0.118,0,0.0,,-0.5166770513390554,0.0574345012156049,,-2.986565374997486,,,,,,,,,,,,,,0
CRYGD,0.2623509651602213,0.3957030048200184,11786,non-target,unlabeled,,,,1.83,-0.0297,0,0.0,,,,,,,,,,,,,,,,,,,0
CDHR2,0.2622851558874562,0.3956517280278945,11787,non-target,unlabeled,,,,0.883,1.06,0,0.0,,,,-1.1122382191249895,,,,,,,,,,,,,,,0
CDK5RAP2,0.2622447396167601,0.3956004512357707,11788,non-target,unlabeled,,,,0.724,0.329,0,0.607495,-17.242199923263147,,,-0.8770787932252189,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RPAP3,0.2622193207166025,0.3955491744436468,11789,non-target,unlabeled,,,,0.813,0.205,0,0.0,-27.353864184018068,-0.2603989042393455,0.9161095241602144,-2.454901216898404,0.2203336292878743,,,,,0.0,0.0,1.0,,,,,,,0
COG1,0.2622101592774294,0.3954978976515229,11790,non-target,unlabeled,,,,0.739,0.827,0,0.0,,,,,,,,,,,,,,,,,,,0
TPGS2,0.2621687406740213,0.395446620859399,11791,non-target,unlabeled,,0.4030408292107235,0.4030408292107235,1.16,0.287,0,0.0,9.550785465361708,,,1.4655098471353991,,0.0914777169663799,0.1141110545084055,0.1329842931937172,0.0415065762273373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DENND6B,0.262165976819968,0.3953953440672751,11792,non-target,unlabeled,,,,1.04,1.08,0,0.0,14.855810804970018,,,7.455165399319983,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PHF21B,0.262128283503728,0.3953440672751512,11793,non-target,unlabeled,,,,0.505,0.11,0,0.0,,,,3.158180357775583,,,,,,,,,,,,,,,0
